UPC,L1,L2,L3,Brand,Manufacturer
1114110170,GROCERY (Corp 6),COFFEE,WHOLE BEAN GROUND,EIGHT O CLOCK,TATA GROUP
1114110206,GROCERY (Corp 6),COFFEE,WHOLE BEAN,EIGHT O CLOCK,TATA GROUP
1114110215,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,EIGHT O'CLOCK,TATA GROUP
1114110223,GROCERY (Corp 6),COFFEE,WHOLE BEAN,EIGHT O CLOCK,TATA GROUP
1114110246,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,Unassigned,Unassigned
1114110247,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,Unassigned,Unassigned
1114110248,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,Unassigned,Unassigned
1114110250,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,Unassigned,Unassigned
1114110251,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,Unassigned,Unassigned
1114110261,GROCERY (Corp 6),COFFEE,WHOLE BEAN,Unassigned,Unassigned
1114110262,GROCERY (Corp 6),COFFEE,WHOLE BEAN,EIGHT O CLOCK,TATA GROUP
1114110264,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
1114110265,GROCERY (Corp 6),COFFEE,WHOLE BEAN,EIGHT O CLOCK,TATA GROUP
1114110272,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,EIGHT O CLOCK,TATA GROUP
1114110274,GROCERY (Corp 6),COFFEE,WHOLE BEAN GROUND,EIGHT O CLOCK,TATA GROUP
1114110281,GROCERY (Corp 6),COFFEE,WHOLE BEAN,EIGHT O'CLOCK,TATA GROUP
1114110283,GROCERY (Corp 6),COFFEE,WHOLE BEAN,EIGHT O CLOCK,TATA GROUP
1114110325,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,EIGHT O'CLOCK,TATA GROUP
1114110514,GROCERY (Corp 6),COFFEE,COFFEE INSTANT SUBSTITUTES,EIGHT O CLOCK,TATA GROUP
1114110525,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
1114110534,GROCERY (Corp 6),COFFEE,WHOLE BEAN,EIGHT O CLOCK,TATA GROUP
1114110542,GROCERY (Corp 6),COFFEE,WHOLE BEAN,EIGHT O CLOCK,TATA GROUP
1114110552,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,Unassigned,Unassigned
1114110610,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,EIGHT O CLOCK,TATA GROUP
1114110753,GROCERY (Corp 6),COFFEE,WHOLE BEAN,EIGHT O CLOCK,TATA GROUP
1114110755,GROCERY (Corp 6),COFFEE,WHOLE BEAN GROUND,EIGHT O CLOCK,TATA GROUP
1114190027,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,EIGHT O CLOCK,TATA GROUP
1291900920,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SEATTLE'S BEST COFFEE,STARBUCKS COFFEE CO
1291900943,GROCERY (Corp 6),COFFEE,WHOLE BEAN GROUND,SEATTLE S BEST COFFEE,STARBUCKS COFFEE CO
1291900960,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SEATTLE'S BEST COFFEE,STARBUCKS COFFEE CO
1291901132,GROCERY (Corp 6),COFFEE,WHOLE BEAN GROUND,SEATTLE S BEST COFFEE,STARBUCKS COFFEE CO
1291901156,GROCERY (Corp 6),COFFEE,WHOLE BEAN GROUND,SEATTLE S BEST COFFEE,STARBUCKS COFFEE CO
